week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2022-07-31,48.0,77.8,18.2,31.4,49.4,0.0,0.0,0.0,0.0,0.0
2022-08-07,45.0,74.4,19.8,37.4,41.6,0.0,0.0,0.0,0.0,0.0
2022-08-14,45.2,72.8,19.6,33.0,48.2,0.0,0.0,0.0,0.0,0.0
2022-08-21,41.8,79.2,22.2,35.8,56.2,0.0,0.0,0.0,0.0,0.0
2022-08-28,45.8,68.8,22.4,38.8,50.8,0.0,0.0,0.0,0.0,0.0
2022-09-04,40.2,69.8,19.6,38.2,45.0,0.0,0.0,0.0,0.0,0.0
2022-09-11,48.8,72.6,20.4,37.6,45.4,0.0,0.0,0.0,0.0,0.0
2022-09-18,55.2,72.6,25.0,31.6,52.0,0.0,0.0,0.0,0.0,0.0
2022-09-25,53.2,71.2,19.8,37.0,53.0,0.0,0.0,0.0,0.0,0.0
2022-10-02,57.4,77.8,24.8,34.8,62.0,0.0,0.0,0.0,0.0,0.0
2022-10-09,51.0,75.6,21.0,42.6,65.6,0.0,0.0,0.0,0.0,0.0
2022-10-16,47.8,80.8,24.6,34.4,55.2,0.0,0.0,0.0,0.0,0.0
2022-10-23,56.0,77.6,23.0,33.2,53.6,0.0,0.0,0.0,0.0,0.0
2022-10-30,59.4,72.8,22.0,37.2,55.2,0.0,0.0,0.0,0.0,0.0
2022-11-06,57.4,74.6,21.2,43.8,49.4,0.0,0.0,0.0,0.0,0.0
2022-11-13,57.0,73.2,23.0,33.6,52.4,0.0,0.0,0.0,0.0,0.0
2022-11-20,42.2,63.4,25.2,25.0,43.2,0.0,0.0,0.0,0.0,0.0
2022-11-27,54.2,70.0,20.8,35.6,57.6,0.0,0.0,0.0,0.0,0.0
2022-12-04,59.8,76.2,21.8,31.4,55.4,0.0,0.0,0.0,0.0,0.0
2022-12-11,61.4,67.8,22.0,39.6,46.2,0.0,0.0,0.0,0.0,0.0
2022-12-18,49.8,68.4,19.4,29.0,39.0,0.0,0.0,0.0,0.0,0.0
2022-12-25,32.0,70.6,18.8,22.2,29.8,0.0,0.0,0.0,0.0,0.0
2023-01-01,48.0,76.6,19.2,32.0,47.2,0.0,0.0,0.0,0.0,0.0
