week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2021-12-12,41.0,62.8,19.2,28.8,34.6,0.0,0.0,0.0,0.0,0.0
2021-12-19,33.2,55.4,21.2,20.6,23.8,0.0,0.0,0.0,0.0,0.0
2021-12-26,32.6,56.4,19.4,24.0,28.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,43.2,61.6,21.0,31.6,38.8,0.0,0.0,0.0,0.0,0.0
2022-01-09,42.2,64.2,22.2,33.0,33.4,0.0,0.0,0.0,0.0,0.0
2022-01-16,47.4,66.0,22.8,28.2,29.0,0.0,0.0,0.0,0.0,0.0
2022-01-23,46.0,73.0,22.0,37.6,39.8,0.0,0.0,0.0,0.0,0.0
2022-01-30,56.4,63.6,24.0,39.6,39.2,0.0,0.0,0.0,0.0,0.0
2022-02-06,59.8,65.6,22.4,41.4,42.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,55.2,68.4,21.0,34.8,41.4,0.0,0.0,0.0,0.0,0.0
2022-02-20,54.6,67.4,17.6,36.6,41.6,0.0,0.0,0.0,0.0,0.0
2022-02-27,52.2,78.0,22.6,46.6,48.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,52.8,66.8,22.2,34.6,41.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,49.0,64.2,21.8,32.8,36.2,0.0,0.0,0.0,0.0,0.0
2022-03-20,52.4,74.2,21.6,39.8,42.0,0.0,0.0,0.0,0.0,0.0
2022-03-27,60.2,72.2,19.2,37.2,46.8,0.0,0.0,0.0,0.0,0.0
2022-04-03,61.6,71.8,22.0,40.0,46.6,0.0,0.0,0.0,0.0,0.0
2022-04-10,58.2,67.0,16.8,33.6,39.8,0.0,0.0,0.0,0.0,0.0
2022-04-17,58.6,69.0,24.0,35.0,47.2,0.0,0.0,0.0,0.0,0.0
2022-04-24,60.4,68.2,21.6,38.4,53.8,0.0,0.0,0.0,0.0,0.0
2022-05-01,61.2,69.0,21.4,40.2,55.2,0.0,0.0,0.0,0.0,0.0
2022-05-08,54.0,68.4,20.6,37.4,49.6,0.0,0.0,0.0,0.0,0.0
2022-05-15,54.6,64.0,18.4,36.8,43.4,0.0,0.0,0.0,0.0,0.0
2022-05-22,38.4,60.8,18.2,34.2,44.2,0.0,0.0,0.0,0.0,0.0
2022-05-29,43.2,63.2,18.8,31.8,34.6,0.0,0.0,0.0,0.0,0.0
2022-06-05,41.0,63.2,19.2,31.0,40.6,0.0,0.0,0.0,0.0,0.0
2022-06-12,46.0,57.4,18.0,27.8,38.0,0.0,0.0,0.0,0.0,0.0
2022-06-19,45.2,62.4,21.4,33.0,37.0,0.0,0.0,0.0,0.0,0.0
2022-06-26,38.4,64.6,20.4,30.6,37.4,0.0,0.0,0.0,0.0,0.0
2022-07-03,41.4,65.2,22.6,26.4,35.6,0.0,0.0,0.0,0.0,0.0
2022-07-10,38.0,66.8,20.0,36.0,39.6,0.0,0.0,0.0,0.0,0.0
2022-07-17,38.8,64.4,17.6,31.8,39.6,0.0,0.0,0.0,0.0,0.0
2022-07-24,43.6,66.8,20.0,33.6,34.8,0.0,0.0,0.0,0.0,0.0
2022-07-31,39.2,66.4,17.8,35.6,36.2,0.0,0.0,0.0,0.0,0.0
2022-08-07,38.0,73.6,17.4,37.4,38.2,0.0,0.0,0.0,0.0,0.0
2022-08-14,38.0,64.2,18.2,35.0,42.2,0.0,0.0,0.0,0.0,0.0
2022-08-21,39.2,67.0,15.0,34.0,37.0,0.0,0.0,0.0,0.0,0.0
2022-08-28,39.6,66.6,18.8,34.0,37.4,0.0,0.0,0.0,0.0,0.0
2022-09-04,44.8,64.0,20.8,34.2,39.8,0.0,0.0,0.0,0.0,0.0
2022-09-11,46.4,65.6,20.0,33.8,41.6,0.0,0.0,0.0,0.0,0.0
2022-09-18,64.2,67.6,19.0,37.4,47.0,0.0,0.0,0.0,0.0,0.0
2022-09-25,49.6,63.2,20.6,31.4,47.0,0.0,0.0,0.0,0.0,0.0
2022-10-02,49.4,68.4,22.8,41.8,43.4,0.0,0.0,0.0,0.0,0.0
2022-10-09,47.2,73.8,21.6,38.2,51.2,0.0,0.0,0.0,0.0,0.0
2022-10-16,44.4,63.0,15.6,36.4,43.2,0.0,0.0,0.0,0.0,0.0
2022-10-23,47.0,68.2,21.2,37.2,47.8,0.0,0.0,0.0,0.0,0.0
2022-10-30,47.8,65.0,21.4,37.6,49.2,0.0,0.0,0.0,0.0,0.0
2022-11-06,48.0,65.0,20.8,34.2,40.0,0.0,0.0,0.0,0.0,0.0
2022-11-13,49.4,66.8,21.0,31.0,46.8,0.0,0.0,0.0,0.0,0.0
2022-11-20,41.2,52.8,20.0,23.4,27.8,0.0,0.0,0.0,0.0,0.0
2022-11-27,49.2,63.6,22.6,32.8,45.0,0.0,0.0,0.0,0.0,0.0
2022-12-04,53.2,65.0,21.0,30.8,48.2,0.0,0.0,0.0,0.0,0.0
2022-12-11,55.4,56.4,24.4,31.0,38.4,0.0,0.0,0.0,0.0,0.0
2022-12-18,38.2,56.6,20.6,24.6,30.4,0.0,0.0,0.0,0.0,0.0
2022-12-25,32.6,53.6,13.6,26.4,27.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,39.2,65.6,20.6,33.2,33.0,0.0,0.0,0.0,0.0,0.0
